ACCIDENT_NO,ABS_CODE,Date,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,LONGITUDE,LATITUDE,LGA_NAME,FATALITY,DEG_URBAN_ALL,REGION_NAME_ALL,RMA,STAT_DIV_NAME,Rainfall amount (millimetres),Maximum temperature (Degree C)
T20140017066,Driving accident,2014/08/17,20:35:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.0
T20140017162,Driving accident,2014/08/19,09:35:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.2,13.4
T20140023277,Driving accident,2014/08/19,23:00:00,Collision with vehicle,Tuesday,144.96605199,-37.79697099,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,13.4
T20140017161,Driving accident,2014/08/19,09:06:00,Collision with vehicle,Monday,144.9615627,-37.80579473,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,13.4
T20140018066,Driving accident,2014/08/31,12:00:00,Collision with vehicle,Sunday,144.97115965,-37.82757775,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,21.8
T20140018029,Driving accident,2014/08/31,00:50:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,21.8
T20140017485,Driving accident,2014/08/23,14:00:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,20.7
T20140017881,Driving accident,2014/08/28,17:30:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,18.8
T20140019043,Driving accident,2014/08/28,11:30:00,Collision with vehicle,Thursday,144.94786481,-37.82552713,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,18.8
T20140018224,Driving accident,2014/09/02,15:00:00,Struck Pedestrian,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,10.8,14.2
T20140018188,Driving accident,2014/09/02,09:15:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,10.8,14.2
T20140017885,Driving accident,2014/07/10,23:30:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,5.0,14.7
T20140017931,Driving accident,2014/08/29,16:25:00,Vehicle overturned (no collision),Friday,144.98366649,-37.81045981,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,14.9
T20140018323,Driving accident,2014/08/29,16:15:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,14.9
T20140017940,Driving accident,2014/08/29,19:00:00,Collision with vehicle,Friday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.0,14.9
T20140018382,Driving accident,2014/09/04,22:17:00,Struck Pedestrian,Thursday,144.95954564,-37.80631558,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,14.3
T20140022452,Driving accident,2014/09/04,12:47:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,14.3
T20140017690,Driving accident,2014/08/26,17:15:00,Collision with vehicle,Tuesday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.2,17.6
T20140018141,Driving accident,2014/09/01,17:00:00,Collision with vehicle,Monday,144.94745133,-37.81414495,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro,0.0,15.5
T20140026472,Driving accident,2014/09/01,23:50:00,Collision with a fixed object,Sunday,144.95575624,-37.81522145,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,15.5
