,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,RMA,STAT_DIV_NAME
74603,74604,T20170018877,Driving accident,Finished,2017/10/03,21:30:00,Yes,Vehicle overturned (no collision),Tuesday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,144.95962375,-37.80632779,MELBOURNE,METROPOLITAN NORTH WEST REGION,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,0.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro
74605,74606,T20170018936,Driving accident,Finished,2017/10/04,23:35:00,Yes,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,60 km/hr,No,144.96585243,-37.80697361,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,1.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro
74617,74618,T20170019128,Driving accident,Finished,2017/10/08,02:25:00,Yes,Collision with vehicle,Sunday,OTHER ON PATH,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,50 km/hr,No,144.97907912,-37.83300991,MELBOURNE,METROPOLITAN NORTH WEST REGION,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,Local Road,Metro
74664,74665,T20170019818,Driving accident,Finished,2017/10/18,09:20:00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,144.96583602,-37.8218183,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,1.0,1.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Highway,Metro
74709,74710,T20170020609,Driving accident,Finished,2017/10/29,01:20:00,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,Yes,Dark Street lights on,Yes,Cross intersection,Serious injury accident,40 km/hr,No,144.95617748,-37.81736974,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro
74714,74715,T20170020670,Driving accident,Finished,2017/10/30,04:14:00,Yes,Collision with a fixed object,Monday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,40 km/hr,No,144.96738521,-37.81747809,MELBOURNE,METROPOLITAN NORTH WEST REGION,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,MELBOURNE_CBD,"MELB_URBAN,MELBOURNE_CBD",MELBOURNE,METROPOLITAN NORTH WEST REGION,Local Road,Metro
74716,74717,T20170020694,Driving accident,Finished,2017/10/30,08:20:00,Yes,Collision with vehicle,Sunday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,144.96584669,-37.80698046,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,1.0,1.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro
74719,74720,T20170020728,Driving accident,Finished,2017/10/25,14:50:00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,No,Cross intersection,Other injury accident,40 km/hr,No,144.95572693,-37.81638452,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,1.0,1.0,0.0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro
74728,74729,T20170020935,Driving accident,Finished,2017/11/02,13:45:00,No,Collision with vehicle,Thursday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,144.93287914,-37.79464217,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,1.0,0.0,0.0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,Local Road,Metro
74758,74759,T20170021373,Driving accident,Finished,2017/11/09,17:59:00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Serious injury accident,40 km/hr,No,144.95140963,-37.81312535,MELBOURNE,METROPOLITAN NORTH WEST REGION,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,1.0,0.0,0.0,MELBOURNE_CBD,"MELB_URBAN,MELBOURNE_CBD",MELBOURNE,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro
